asus,Core i9-14900HX,GeForce RTX 4090,64,18,350000000
asus,Core i5-12500H,GeForce RTX 3050,16,15.6,57999000
Apple,M4 Max,40,48,16.2,315900000
Dell,Core i3-1215U,UHD Graphics,8,15.6,27800000
asus,Core i7-12700H,Iris Xe Graphics,24,15.6,44766000
asus,Core i3-1215U,UHD Graphics,4,15.6,24400000
Microsoft,Snapdragon X Plus,Adreno,16,13,74329000
Acer,Core i9-12900H,GeForce RTX 3060,16,15.6,67997000
asus,Core i5-1335U,UHD Graphics,8,15.6,26250000
HP,Core i7-1355U,GeForce MX570 A,8,15.6,51788000
asus,Core Ultra 5 125H,Arc Graphics,8,14.0,47100000
asus,Core i5-1235U,Iris Xe,8,15.6,34569000
Lenovo,Core i7-13650HX,GeForce RTX 4060,32,15.6,82000000
Lenovo,Core i5-1235U,GeForce MX550,16,15.6,30400000
asus,Core Ultra 7 155H,GeForce RTX 4060,16,15.6,91900000
asus,Core i7-12700H,GeForce RTX 3050,16,15.6,69199000
HP,Core i5-13420H,GeForce RTX 4050,16,15.6,53900000
asus,Core i7-12700H,GeForce RTX 3060,16,16,75000000
Lenovo,AMD Ryzen 3 7320U,AMD Radeon 610M,8,15.6,23469000
Lenovo,Core i5-1135G7,GeForce MX450,8,15.6,43999000
HP,Core 5 120U,Iris Xe,8,14,46000000
Lenovo,Core i7-13700H,Iris Xe,16,16,53469000
Microsoft,Core i7-1255U,Iris Xe Graphics,16,13.5,85299000
asus,Core i7-13650HX,GeForce RTX 4050,32,16,88990000
asus,Core i7-1355U,Iris Xe,40,15.6,27000000
asus,Core i7-1255U,Iris Xe,8,15.6,39699000
asus,Core i7-1255U,Iris Xe,16,14,60500000
Lenovo,AMD Athlon Silver 7120U,AMD Radeon 610M,8,15.6,20270000
Acer,Core i7-13620H,GeForce RTX 4050,32,15.6,71969000
Lenovo,Core i7-13650HX,GeForce RTX 3050,24,15.6,63100000
asus,Core Ultra 9 185H,GeForce RTX 3050,24,15.6,84670000
asus,Core i5-1335U,Iris Xe,12,15.6,35400000
Lenovo,Core i5-13420H,UHD Graphics Xe,16,15.6,36390000
asus,Core i7-1195G7,GeForce MX450,16,14,83200000
asus,Core i7-1355U,Iris Xe,16,15.6,44469000
MSI,Core i5-1235U,Iris Xe Graphics,16,15.6,35400000
Lenovo,AMD Ryzen 3 7320U,AMD Radeon 610M,8,15.6,21350000
asus,Core i7-12700H,Iris Xe Graphics,24,15.6,43359000
Dell,Core i7-13700HX,GeForce RTX 4070,16,16,148000000
asus,Core Ultra 7 155H,Arc Graphics,16,14,107999000
Lenovo,Core i7-12650H,GeForce RTX 3050,32,15.6,66500000
Lenovo,Core i3-1315U,UHD Graphics,8,15.6,23189000
Lenovo,Core i5-L16G7,UHD Graphics,8,13.3,144964000
Acer,Core i9-14900HX,GeForce RTX 4060,32,16,109969000
asus,Core i7-12700H,Iris Xe Graphics,40,15.6,46670000
asus,Core i7-1355U,Iris Xe Graphics,16,15.6,42600000
MSI,Core Ultra 7 155H,GeForce RTX 4060,32,14,124800000
asus,Core i7-13650HX,GeForce RTX 4070,32,16,129969000
Acer,Core i7-13620H,GeForce RTX 4050,16,15.6,68969000
asus,Core i7-13620H,GeForce RTX 4060,32,15.6,83470000
Acer,Core i5-13420H,GeForce RTX 3050,8,15.6,51600000
asus,Core i7-1355U,Iris Xe Graphics,24,15.6,44650000
HP,Core i9-13900HX,GeForce RTX 4060,16,16.1,102000000
Lenovo,Core i7-13650HX,GeForce RTX 3050,32,15.6,68469000
asus,Core i7-13620H,GeForce RTX 4050,32,15.6,77700000
Lenovo,Core i5-12450HX,GeForce RTX 2050,16,15.6,46500000
asus,Core i7-1255U,Iris Xe,40,14,59300000
asus,Core i7-1255U,Iris Xe Graphics,16,15.6,38400000
Lenovo,Core i3-1215U,UHD Graphics,8,15.6,17379000
Lenovo,Core i9-13900HX,GeForce RTX 4080,32,16.0,209969000
asus,Core i5-1335U,Iris Xe,8,14,35970000
Acer,Core Ultra 5 125H,Arc,16,14,79969000
asus,Core i7-12700H,GeForce RTX 3050 Ti,16,15.6,70210000
HP,AMD Ryzen 5 7535HS,AMD Radeon RX 6550M,16,15.6,44350000
asus,AMD Ryzen 7 7435HS,GeForce RTX 2050,32,15.6,53898000
Acer,Core i5-1235U,Iris Xe Graphics,16,16,34500000
asus,Core i3-1315U,UHD Graphics,12,15.6,26790000
HP,AMD Athlon Silver 7120U,AMD Radeon 610M,8,15.6,22300000
asus,AMD Ryzen 9 7945HX,GeForce RTX 4080,64,16,429969000
Microsoft,i5-1135G7,Iris Xe Graphics,8,13,58669000
Lenovo,Core i5-12450HX,GeForce RTX 4050,24,15.6,60469000
Lenovo,Core i3-1315U,UHD Graphics,8,15.6,23499000
asus,Core i7-13620H,GeForce RTX 4070,16,15.6,89800000
asus,AMD Ryzen AI 9 HX 370,GeForce RTX 4070,64,16,209969000
Lenovo,Core i5-13420H,UHD Graphics Xe,16,15.6,34290000
Acer,Core i7-13620H,GeForce RTX 4060,16,15.6,71587000
Microsoft,Core i7-1265U,Iris Xe Graphics,16,13,75500000
Lenovo,Core i5-1135G7,GeForce MX450,16,15.6,43300000
HP,Core i7-10850H,Quadro T1000,32,15.6,46500000
HP,Core i5-13420H,GeForce RTX 2050,32,15.6,46290000
asus,Core i5-12500H,GeForce RTX 3050,8,15.6,54969000
Lenovo,Core i7-13620H,UHD Graphics,16,15.6,44998000
asus,AMD Ryzen 7 7435HS,GeForce RTX 4050,32,15.6,73469000
MSI,Core i7-13620H,GeForce RTX 4060,32,15.6,81000000
Acer,Core i5-13420H,GeForce RTX 4050,8,15.6,55000000
Lenovo,Core i5-1235U,GeForce MX550,16,15.6,46150000
Dell,Core i3-1215U,UHD Graphics,16,15.6,31050000
Lenovo,Celeron N4500,UHD Graphics,8,15.6,16600000
asus,Core i5-12500H,GeForce RTX 3050,32,15.6,59400000
Microsoft,Core i7-1185G7,Iris Xe,16,13,76600000
asus,Celeron N4020,UHD Graphics 600,8,15.6,21000000
asus,Core i7-12700H,GeForce RTX 3050,32,15.6,71600000
asus,Core i7-13620H,GeForce RTX 4050,16,17.3,77969000
Microsoft,Core i5-1235U,Iris Xe Graphics,8,13,77229000
Lenovo,AMD Ryzen 7 7435HS,GeForce RTX 4060,16,15.6,69000000
Lenovo,AMD Ryzen 5 7520U,AMD Radeon 610M,8,15.6,24300000
Acer,Core i5-13420H,GeForce RTX 2050,8,15.6,46599000
asus,Core i3-N305,UHD Graphics,4,15.6,21200000
Lenovo,Celeron N4500,UHD Graphics,8,15.6,17798000
asus,AMD Ryzen 3 7320U,AMD Radeon 610M,8,15.6,24799000
asus,Core i5-1235U,Iris Xe,16,15.6,35598000
